episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
420,-1184.87,-788.10,-396.77,1000,3453.2
421,-1112.64,-723.22,-389.42,1000,3462.4
422,-1386.27,-903.91,-482.36,1000,3472.0
423,-1601.86,-978.12,-623.74,1000,3481.6
424,-766.85,-556.72,-210.14,1000,3491.1
425,-946.58,-664.35,-282.23,1000,3500.9
426,-1168.87,-752.91,-415.96,1000,3510.1
427,-1040.51,-693.83,-346.68,1000,3519.5
428,-1202.69,-758.87,-443.82,1000,3529.2
429,-1422.01,-919.34,-502.67,1000,3538.6
430,-1152.51,-764.64,-387.87,1000,3548.1
431,-1515.14,-928.20,-586.94,1000,3557.7
432,-1240.97,-784.31,-456.66,1000,3567.2
433,-1244.59,-792.83,-451.75,1000,3576.8
434,-1096.40,-710.79,-385.61,1000,3586.1
435,-1115.84,-741.97,-373.87,1000,3595.8
436,-1070.32,-709.06,-361.27,1000,3605.4
437,-1477.00,-926.05,-550.95,1000,3614.8
438,-1428.70,-881.21,-547.49,1000,3624.4
439,-1503.05,-927.39,-575.66,1000,3633.7
440,-1568.87,-977.39,-591.48,1000,3643.3
441,-1181.72,-760.86,-420.86,1000,3652.8
442,-1706.85,-1053.44,-653.42,1000,3662.2
443,-487.49,-415.70,-71.79,1000,3671.9
444,-1612.05,-1006.31,-605.74,1000,3681.3
445,-1595.82,-993.71,-602.11,1000,3691.1
446,-1682.20,-1043.62,-638.58,1000,3700.6
447,-1619.21,-1024.48,-594.73,1000,3710.1
448,-1112.52,-744.99,-367.53,1000,3719.6
449,-937.72,-666.67,-271.05,1000,3729.1
450,-563.89,-469.31,-94.58,1000,3738.7
451,-657.06,-520.81,-136.24,1000,3748.4
452,-607.36,-502.15,-105.21,1000,3757.8
453,-586.18,-480.29,-105.89,1000,3767.2
454,574.12,99.42,474.69,1000,3776.6
455,-176.31,-285.59,109.28,1000,3786.0
456,-1434.77,-1081.29,-353.47,1000,3795.3
457,-1100.34,-760.64,-339.70,1000,3804.8
458,-679.48,-537.71,-141.77,1000,3814.4
459,-916.21,-630.58,-285.63,1000,3823.5
460,-1318.38,-825.43,-492.95,1000,3832.8
461,-642.81,-498.29,-144.52,1000,3842.4
462,-1131.03,-920.88,-210.15,1000,3851.9
463,-855.88,-607.86,-248.02,1000,3861.6
464,-992.07,-652.22,-339.85,1000,3871.0
465,-1228.11,-778.23,-449.88,1000,3880.3
466,-1165.36,-752.74,-412.61,1000,3890.0
467,-1166.02,-768.86,-397.16,1000,3899.6
468,-1511.07,-943.89,-567.18,1000,3909.0
469,-926.64,-620.36,-306.28,1000,3918.5
470,-1393.14,-862.82,-530.32,1000,3927.8
471,-1223.87,-787.61,-436.25,1000,3937.4
472,-1428.30,-902.23,-526.07,1000,3946.7
473,-878.92,-625.23,-253.68,1000,3956.1
474,-791.02,-574.85,-216.17,1000,3965.4
475,-774.80,-562.97,-211.83,1000,3974.9
476,-1044.93,-705.52,-339.41,1000,3984.5
477,-1087.99,-729.07,-358.92,1000,3994.4
478,-624.54,-512.29,-112.25,1000,4003.9
479,-469.19,-402.91,-66.28,1000,4013.4
480,-221.46,-296.14,74.68,1000,4022.8
481,-644.59,-484.95,-159.65,1000,4032.4
482,-619.91,-493.95,-125.97,1000,4041.7
483,-443.18,-397.09,-46.09,1000,4051.6
484,-382.25,-359.51,-22.75,1000,4061.2
485,-725.41,-550.49,-174.92,1000,4070.9
486,-1184.02,-792.86,-391.16,1000,4080.6
487,-1471.72,-913.25,-558.47,1000,4090.3
488,-474.16,-420.13,-54.03,1000,4099.7
489,-88.00,-221.65,133.66,1000,4109.1
490,-1308.22,-853.89,-454.33,1000,4118.6
491,1497.43,576.03,921.41,1000,4127.8
492,-282.96,-314.94,31.98,1000,4137.3
493,-925.24,-639.71,-285.53,1000,4147.1
494,-940.90,-630.74,-310.16,1000,4156.8
